id_personnage;nom_personnage;prenom_personnage;date_naissance_personnage
1;Green;Rachel Karen;05/05/1969
2;Geller-Bing;Monica E.;22/04/1969
3;Hannigan;Phoebe Buffay;16/02/1967
4;Tribbiani;"Joseph ""Joey"" Francis";09/01/1968
5;Bing;Chandler Muriel;19/04/1968
6;Geller;Ross Eustace;18/10/1967
7;Burke;Richard;29/01/1945
8;Bing;Nora Tyler;
9;Lecroix;Janine;
10;Bing;Charles « Helena »;
11;Stevens;Paul;
12;Green;Amy;
13;Green;Jill;
14;Crosby;Richard;
15;Waltham;Andrea;
16;Eric;Andrea;
17;Parker;Andrea;
18;Steve;Andrea;
19;Colbert;Will;
20;Warburton;Melissa;
21;Damme;Jean-Claude Van;
22;Moss;Susie;
23;Schiffer;Stephanie;
24;Rosen;Dr;
25;Ford;Erica;
26;Mitchell;Dr;
27;Donan;Rob;
28;Cassie;Rob;
29;Goodacre;Jill;
30;Monroe;Cecilia;
31;Tommy;Cecilia;
32;Mackenzie;Cecilia;
33;Haze;Leonard;
34;Malcolm;Leonard;
35;Sandy;Leonard;
36;Duffy;Caroline;
37;Ryan;Caroline;
38;Buchman;Jamie;
39;Earl;Jamie;
40;Heston;Charlton;
41;Thomas;Charlton;
42;Styler;Turdie;
43;Rossellini;Isabella;
44;Ferguson;Sarah;
45;Leno;Jay;
46;souvenirs;Vendeur de;
47;Lauren;Ralph;
48;Collins;Gary;
49;Roy;Gary;
50;Tim;Gary;
51;Gunther;Gary;
52;Geller;Emma;
53;Geller;Jack;
54;Geller;Judy;
55;Guralnick;Janice Littman;
56;Hanigan;Mike;
57;Geller;Ben;
58;Willick;Carol;
59;Waltham;Emily;
60;Bunch;Susan;
61;Dick;Susan;
62;Leonard;Estelle;
63;Marcel;Estelle;
64;Buffay;Frank Jr;
65;Wheeler;Professeur Charlie;
66;Yasmine;Professeur Charlie;
67;Buffay;Ursula;
68;Jones;Tag;
69;Mona;Tag;
70;Julie;Tag;
71;Kathy;Tag;
72;Becker;Pete;
73;Buffay;Alice Knight ep.;
74;Mark;Alice Knight ep.;
75;David;Alice Knight ep.;
76;Stevens;Elizabeth;
77;Farber;Barry;
78;Bergen;Joshua;
79;Heckles;Mr;
80;Treeger;Mr;
81;Paolo;Mr;
82;Erica;Mr;
83;Zelner;Mr;
84;Long;Dr;
85;Gary;Dr;
86;Green;Dr Leonard;
87;Jasmine;Dr Leonard;
88;Sophie;Dr Leonard;
89;Abbott;Phoebe;
90;Joanna;Phoebe;
91;Minowick;Eddie;
92;Bonnie;Eddie;
93;Miller;Kate;
94;Green;Sandra;
95;yeti;Danny, le;
96;Doug;Danny, le;
97;Talmant;Marshall;
98;Steve;Marshall;
99;marrant;Bob le;
100;Chloe;Bob le;
101;Horton;Dr;
102;Stu;Dr;
103;Lauren;Dr;
104;Hanigan;Mrs;
105;Trent;Mrs;
106;Hanigan;Mr;
107;Clozzi;Kim;
108;Kiki;Kim;
109;restaurant;Serveur gay au;
110;Ledbetter;Dr;
111;Douglas;Mr;
112;Tedlock;Mlle;
113;Robbie;Mlle;
114;Jake;Mlle;
115;Claudia;Mlle;
116;Ken;Mlle;
117;Waltham;Mr;
118;l’hôpital;Infirmière à;
119;Mitchell;Gavin;
120;Waltham;Steven;
121;Molly;Steven;
122;Terry;Steven;
123;Russel;Steven;
124;Jr;Mr Kaplan;
125;Buffay;Frank Sr;
126;Russ;Frank Sr;
127;Hunter;Mindy;
128;Willick;Carol;
129;Burke;Tim;
130;Felicity;Tim;
131;Duncan;Tim;
132;Ginger;Tim;
133;Katie;Tim;
134;Leigh;Kristen;
135;Erin;Kristen;
136;Hobart;Dr Benjamin;
137;Cheryl;Dr Benjamin;
138;Franzblau;Dr;
139;Diego;Gardien du zoo de San;
140;Bergen;Mme;
141;Iris;Mme;
142;Campbell;James;
143;Wendy;James;
144;Amanda;James;
145;Devanow;Fran;
146;Tribbiani;Gloria;
147;d’encyclopédies;Démarcheur;
148;Buffay;Mme;
149;Zack;Mme;
150;Osmond;Donny;
151;Baldhadar;Dr;
152;Charleston;Leslie;
153;Alexander;Emile;
154;film;Réalisateur du;
155;plateau;Assistant du réalisateur sur le;
156;Burnett;Clifford;
157;lives.;Serveuse et figurante dans la sérieDays of our;
158;Roger;Dr;
159;Courtière;Dr;
160;Bing;Erica Jr;
161;Bing;Jack Jr;
162;Zebooker;Mr Simon et Al;
163;Lowell;Mr Simon et Al;
164;sommelier;Paul, le;
165;Gublik;Roy;
166;Aurora;Roy;
167;Tribbiani;Dina;
168;Whitney;Dina;
169;Fredrick;Dina;
170;Katie;Dina;
171;Hunter-Farber;Mindy;
172;Kyle;Mindy;
173;Goldberg;Missy;
174;Franny;Missy;
175;Arthur;Missy;
176;Josh;Missy;
177;Jack;Missy;
